出現形,基幹表現,部位,方言地方,標準病名,ICD-10,エビデンス
あたまがシン,シン,頭,,-1,,Web
ガン,,,-1,-1,-1,CS
ガングリ,,,-1,-1,-1,CS
ギラギラした眼,ギラギラ,眼,,-1,,Web
ギラギラした目,ギラギラ,目,,-1,,Web
キリッとした顔,キリッ,顔,,-1,,Web
キリッとした眉,キリッ,眉,,-1,,Web
ホクホクした顔,ホクホク,顔,,-1,,Web
額がトントン,トントン,額,,-1,,Web
顎をクイッと,クイッ,顎,,-1,,Web
癌要因病変,,,-1,-1,-1,CS
眼がゾクゾク,ゾクゾク,眼,,-1,,Web
眼がソロソロ,ソロソロ,眼,,-1,,Web
眼がタジタジ,タジタジ,眼,,-1,,Web
眼をグイグイ,グイグイ,眼,,-1,,Web
顔がキラキラしている,キラキラ,顔,,-1,,Web
顔がコロコロ,コロコロ,顔,,-1,,Web
顔がコン,コン,顔,,-1,,Web
顔がチャン,チャン,顔,,-1,,Web
顔がテカテカ,テカテカ,顔,,-1,,Web
顔がドロドロ,ドロドロ,顔,,-1,,Web
顔がニコニコ,ニコニコ,顔,,-1,,Web
顔がピン,ピン,顔,,-1,,Web
顔がベタベタ,ベタベタ,顔,,-1,,Web
顔がボコボコ,ボコボコ,顔,,-1,,Web
顔をググ,ググ,顔,,-1,,Web
脚がスベスベ,スベスベ,脚,,-1,,Web
脚がスラッ,スラッ,脚,,-1,,Web
脚がスリスリ,スリスリ,脚,,-1,,Web
脚がデン,デン,脚,,-1,,Web
脚がピン,ピン,脚,,-1,,Web
脚がプルプル,プルプル,足,,-1,,Web
脚をバタバタ,バタバタ,脚,,-1,,Web
胸がガリガリ,ガリガリ,胸,,-1,,Web
胸がコン,コン,胸,,-1,,Web
胸がピン,ピン,胸,,-1,,Web
胸がボイン,ボイン,胸,,-1,,Web
胸がワクワク,ワクワク,胸,,-1,,Web
胸をググ,ググ,胸,,-1,,Web
肩にウトウト,ウトウト,肩,,-1,,Web
肩をトントン,トントン,肩,,-1,,Web
口がガリガリ,ガリガリ,口,,-1,,Web
口がコン,コン,口,,-1,,Web
口がスースー,スースー,口,,-1,,Web
口がデン,デン,口,,-1,,Web
口がハアハア,ハアハア,口,,-1,,Web
口がピン,ピン,口,,-1,,Web
口がベタベタ,ベタベタ,口,,-1,,Web
口がポンポン,ポンポン,口,,-1,,Web
口がモゴモゴ,モゴモゴ,口,,-1,,Web
口がワクワク,ワクワク,口,,-1,,Web
口をググ,ググ,口,,-1,,Web
口をパクパク,パクパク,口,,-1,,Web
口をペロペロ,ペロペロ,口,,-1,,Web
喉がクラクラする,クラクラ,喉,,-1,,Web
腰がゴロゴロ,ゴロゴロ,腰,,-1,,Web
腰をググ,ググ,腰,,-1,,Web
腰をクネクネ,クネクネ,腰,,-1,,Web
腰をグリグリする,グリグリ,腰,,-1,,Web
指がピン,ピン,指,,-1,,Web
指をググ,ググ,指,,-1,,Web
指をグリグリする,グリグリ,指,,-1,,Web
指をクルクル,クルクル,指,,-1,,Web
指をチュパチュパ,チュパチュパ,指,,-1,,Web
指をペン,ペン,指,,-1,,Web
歯がカチカチなる,カチカチ,歯,,-1,,Web
歯がガリガリ,ガリガリ,歯,,-1,,Web
歯がギザギザ,ギザギザ,歯,,-1,,Web
歯がゴシゴシ,ゴシゴシ,歯,,-1,,Web
歯がゴリゴリ,ゴリゴリ,歯,,-1,,Web
歯がサクサク,サクサク,歯,,-1,,Web
歯がツルツル,ツルツル,歯,,-1,,Web
歯でガシガシする,ガシガシ,歯,,-1,,Web
歯をカリカリする,カリカリ,歯,,-1,,Web
歯をキシキシ言わせる,キシキシ,歯,,-1,,Web
耳がコリコリ,コリコリ,耳,,-1,,Web
耳がニコニコ,ニコニコ,耳,,-1,,Web
耳がピン,ピン,耳,,-1,,Web
耳をカリカリする,カリカリ,耳,,-1,,Web
耳をググ,ググ,耳,,-1,,Web
腫瘤生病変,,,-1,-1,-1,CS
首がバラバラ,バラバラ,首,,-1,,Web
掌をギュッと,ギュッ,掌,,-1,,Web
